"","FSC-A <FSC-A>","FSC-H <FSC-H>","FSC-W <FSC-W>","SSC-A <SSC-A>","SSC-H <SSC-H>","SSC-W <SSC-W>","PHA-L <FITC-A>","BB630-A <BB630-A>","BB660-P-A <BB660-P-A>","CD123 <BB700-P-A>","BB790-P-A <BB790-P-A>","CD16 <APC-A>","CD8 <Alexa Fluor 700-A>","CD3 <APC-Cy7-A>","IL10R <BV421-A>","HLA-DR <BV480-A>","BV570-A <BV570-A>","CD14 <BV605-A>","CD11c <BV650-A>","TIM3 <BV711-A>","CCR7 <BV750-P-A>","CD38 <BV786-A>","CD45RA <BUV395-A>","LD <BUV496-A>","TCRgd <BUV563-A>","CD56 <BUV615-P-A>","CD19 <BUV661-A>","CD39 <BUV737-A>","CD4 <BUV805-A>","PD1 <PE-A>","IgD <PE-CF594-A>","CD25 <PE-Cy5-A>","PE-Cy5.5-A <PE-Cy5.5-A>","Fas <PE-Cy7-A>","Time <Time>",".id","Cluster","Metacluster","Meta_original"
"1",172421.765625,159635.25,141903.828125,43938.046875,40146.546875,91053.6328125,2.75628209114075,0.470844298601151,452.643157958984,1.08794367313385,1318.65893554688,0.741762399673462,0.838370621204376,1.4854062795639,0.736215889453888,0.87028032541275,120.617897033691,0.992154121398926,0.662959218025208,1.14214313030243,0.813043415546417,1.03391373157501,0.668318510055542,1.30067694187164,1.03236436843872,0.863812506198883,0.875607430934906,1.13634443283081,1.40295219421387,0.758524537086487,0.649699866771698,1.11457633972168,9.27671146392822,2.65177655220032,8742.33984375,"sample_1.fcs","66","Undefined","8"
"2",130561.1015625,108919.9609375,143228.140625,152532.75,122979.546875,111328.625,3.09695839881897,-0.0634671896696091,2404.10498046875,1.39878916740417,7419.7060546875,2.75133228302002,2.05105543136597,1.57854700088501,2.19362354278564,3.79940581321716,10745.5703125,2.97542285919189,3.47120308876038,2.95176815986633,-0.175926089286804,2.92737555503845,2.81818127632141,-0.764884531497955,-0.225238770246506,-0.279314011335373,-0.687503159046173,3.46784543991089,2.41160082817078,1.27975594997406,0.188485935330391,1.70838510990143,2834.20922851562,3.08528757095337,5863.7626953125,"sample_1.fcs","138","Monocytes","25"
"3",59750.515625,52227.12890625,124318.2109375,34754.8671875,32083.294921875,86860.1875,2.30556869506836,0.829798400402069,305.933624267578,1.13607835769653,5790.09619140625,0.607483804225922,0.685457587242126,3.02661800384521,1.4278689622879,0.670770168304443,226.722930908203,1.05238378047943,0.540856897830963,1.5961686372757,3.41314625740051,0.639455676078796,0.482368379831314,1.153036236763,0.978409051895142,0.550243556499481,0.945214629173279,0.137382075190544,2.47632551193237,1.71518838405609,0.832961201667786,1.03798019886017,165.409515380859,2.98421192169189,8203.1337890625,"sample_1.fcs","23","CD4 T cells","3"
"4",126880.546875,115355.890625,138251.5,29839.375,27630.837890625,83771.125,2.22427082061768,0.971309840679169,214.376922607422,0.932607591152191,2345.06787109375,0.985353648662567,0.729797065258026,3.35178589820862,0.998166859149933,1.00410032272339,86.5935134887695,0.732241809368134,0.411433637142181,0.970512986183167,2.65574312210083,1.35742938518524,1.69249057769775,0.782449841499329,0.579319775104523,0.756609916687012,0.773975372314453,0.481427192687988,2.95681715011597,1.00703763961792,0.76746267080307,0.699539363384247,-15.7042627334595,2.45588493347168,8782.57421875,"sample_1.fcs","35","CD4 T cells","6"
"5",128519.484375,118326,141526,34170.734375,32273.873046875,86614.5625,2.85876965522766,1.06900894641876,6585.84716796875,-0.316593080759048,1944.419921875,-0.126479849219322,0.352887988090515,2.01689696311951,0.0291402786970139,3.44762277603149,3997.6259765625,0.45237272977829,1.47912323474884,2.00423645973206,2.13391971588135,2.96884202957153,3.17539620399475,1.16722130775452,0.863272905349731,0.0263645313680172,2.95566773414612,2.85565686225891,1.86777448654175,0.373405933380127,3.40180850028992,2.39711308479309,2912.3203125,0.0844752341508865,9842.4541015625,"sample_1.fcs","85","B cells","10"
"6",142160.9375,128206.8984375,137745.546875,52815.390625,48291.7109375,93063.7734375,2.94765496253967,0.971249163150787,734.484924316406,0.307934015989304,1037.4443359375,2.18810844421387,1.31332194805145,0.0480927489697933,0.710154175758362,0.644818663597107,143.128997802734,0.468905180692673,1.18133795261383,1.55957508087158,0.549333393573761,2.3402042388916,2.14523315429688,0.879136204719543,0.913730442523956,1.32383143901825,0.456952154636383,1.01257455348969,0.775266706943512,0.626240372657776,0.972993850708008,1.62540638446808,357.461822509766,2.01477956771851,3522.87841796875,"sample_1.fcs","91","NK cells","17"
"7",57950.84375,49842.08984375,124565.5546875,52013.7421875,45205.56640625,95479.515625,3.11418342590332,0.991042077541351,4791.6298828125,0.595107793807983,1552.85046386719,1.34466004371643,0.159343481063843,1.64768159389496,0.486752390861511,2.99003076553345,1651.11511230469,-0.0251086913049221,0.910190939903259,1.5167076587677,0.0460996627807617,3.56494402885437,2.94065618515015,0.740440249443054,0.613828063011169,0.45053768157959,2.78258943557739,1.44878506660461,1.86813819408417,1.10329008102417,3.23649287223816,-0.0838841944932938,1959.75134277344,1.39824676513672,3866.64184570312,"sample_1.fcs","61","B cells","10"
"8",136333.1875,122211.21875,140810.34375,55950.39453125,50740.1953125,93430.7109375,3.13039469718933,0.565713107585907,1394.71142578125,1.12128388881683,36050.78515625,0.444982647895813,1.17764532566071,3.43113780021667,0.990150570869446,3.1129093170166,2072.62524414062,1.02231073379517,1.28344595432281,0.890548169612885,2.33686661720276,1.95698034763336,1.05424880981445,0.517835378646851,0.71925014257431,0.371666789054871,0.97075742483139,3.13285207748413,3.52308177947998,3.07046842575073,0.804150104522705,1.03548347949982,655.473388671875,3.94041466712952,5950.8701171875,"sample_1.fcs","12","CD4 T cells","4"
"9",118070.1875,106689.609375,136423.46875,30130.263671875,27560.00390625,85878.0703125,2.508296251297,1.04860901832581,242.362548828125,0.633225798606873,1571.82275390625,0.557687520980835,2.05442690849304,2.96512985229492,1.01663827896118,0.625554084777832,105.415908813477,0.628318071365356,0.473923057317734,1.20945847034454,2.63065505027771,1.12953746318817,1.70453333854675,0.782099604606628,0.542062997817993,0.577229976654053,0.983221471309662,1.41536462306976,1.22198092937469,0.88134890794754,1.04571175575256,0.924646735191345,251.012557983398,2.62242650985718,4794.32568359375,"sample_1.fcs","53","Undefined","8"
"10",131311.296875,120361.1015625,133480.546875,26607.5234375,24233.623046875,83761.5625,2.9027624130249,0.385201275348663,1719.90490722656,1.49122798442841,885.611267089844,1.72317576408386,1.11606121063232,1.8062641620636,1.26600086688995,3.35770130157471,3180.82983398438,1.43274712562561,1.25220847129822,1.01911473274231,2.2571907043457,2.36105871200562,1.82643127441406,0.202497914433479,0.705242395401001,0.253208160400391,2.87226533889771,2.7306764125824,0.916385352611542,0.680159211158752,2.63463282585144,0.628907203674316,1100.23596191406,0.710299789905548,8392.30859375,"sample_1.fcs","73","B cells","10"
